SK_ID_CURR,CREDIT_TYPE,CREDIT_DAY_OVERDUE,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CNT_CREDIT_PROLONG,DAYS_CREDIT_ENDDATE,CREDIT_ACTIVE
415899,Consumer credit,0,229050.0,0.0,0.0,0.0,0,-131.0,Closed
415899,Credit card,0,225000.0,93469.5,0.0,0.0,0,916.0,Active
415899,Consumer credit,0,450000.0,406021.5,0.0,0.0,0,426.0,Active
271160,Consumer credit,0,31104.0,0.0,0.0,0.0,0,-1616.0,Closed
271160,Credit card,0,0.0,0.0,0.0,0.0,0,90.0,Active
271160,Consumer credit,0,36810.0,0.0,0.0,0.0,0,-1368.0,Closed
271160,Credit card,0,101250.0,,,0.0,0,-1488.0,Closed
271160,Credit card,0,18000.0,0.0,0.0,0.0,0,-1105.0,Closed
271160,Car loan,0,720495.0,0.0,0.0,0.0,0,-1946.0,Closed
271160,Consumer credit,0,141102.0,,,0.0,0,-861.0,Closed
271160,Consumer credit,0,62550.0,62550.0,0.0,0.0,0,145.0,Active
456062,Consumer credit,0,216913.5,0.0,0.0,0.0,0,-670.0,Closed
323674,Credit card,0,0.0,0.0,0.0,0.0,0,-88.0,Closed
323674,Consumer credit,0,206145.0,0.0,0.0,0.0,0,-2303.0,Closed
323982,Consumer credit,0,1430190.0,0.0,0.0,0.0,0,-378.0,Closed
323982,Credit card,0,270000.0,273955.5,0.0,0.0,0,-726.0,Active
182005,Consumer credit,0,9175.5,0.0,0.0,0.0,0,-991.0,Closed
182005,Credit card,0,90000.0,3285.0,,0.0,0,31132.0,Active
182005,Credit card,0,162000.0,161952.255,47.745,0.0,2,27481.0,Active
182005,Credit card,0,0.0,106640.91,0.0,0.0,0,,Active
104261,Consumer credit,0,450000.0,317925.0,0.0,0.0,0,872.0,Active
380677,Consumer credit,30,57024.0,0.0,,58.5,0,-2353.0,Active
380677,Consumer credit,0,111818.34,0.0,,0.0,0,-984.0,Closed
380677,Consumer credit,0,95157.0,0.0,0.0,0.0,0,-1072.0,Closed
380677,Consumer credit,0,490500.0,358384.5,0.0,0.0,0,922.0,Active
380677,Consumer credit,0,95157.0,,,0.0,0,-953.0,Closed
380677,Credit card,0,321750.0,318006.0,3740.22,0.0,0,,Active
380677,Consumer credit,0,22860.0,8019.0,0.0,0.0,0,28.0,Active
158282,Credit card,0,67500.0,0.0,0.0,0.0,0,1008.0,Active
158282,Consumer credit,0,450000.0,388642.5,0.0,0.0,0,547.0,Active
449832,Consumer credit,0,604026.0,603126.0,,0.0,0,726.0,Active
449832,Consumer credit,0,67500.0,0.0,,0.0,0,,Closed
273179,Consumer credit,0,135000.0,0.0,0.0,0.0,0,-912.0,Closed
273179,Consumer credit,0,135000.0,0.0,,0.0,0,-912.0,Closed
157295,Consumer credit,0,76356.0,,,0.0,0,-1447.0,Closed
157295,Consumer credit,0,255946.5,236268.0,,0.0,0,874.0,Active
157295,Consumer credit,0,168885.0,128106.0,,0.0,0,448.0,Active
157295,Consumer credit,0,44910.0,,,0.0,0,-1912.0,Closed
128000,Consumer credit,0,120960.0,0.0,0.0,0.0,0,-1651.0,Closed
128000,Consumer credit,0,675000.0,,,0.0,0,,Closed
128000,Consumer credit,0,2250000.0,,,0.0,0,,Closed
128000,Car loan,0,2447829.0,0.0,,0.0,0,827.0,Closed
128000,Consumer credit,0,154035.0,,,0.0,0,129.0,Closed
128000,Consumer credit,0,77341.5,0.0,0.0,0.0,0,-1711.0,Closed
128000,Car loan,0,1161270.0,0.0,0.0,0.0,0,-310.0,Closed
128000,Consumer credit,0,143057.565,143057.565,0.0,0.0,0,294.0,Active
247237,Consumer credit,0,184500.0,0.0,0.0,0.0,0,-1096.0,Closed
247237,Consumer credit,0,135000.0,0.0,0.0,0.0,0,258.0,Closed
247237,Credit card,0,29394.0,,,0.0,0,-2203.0,Closed
247237,Credit card,0,24421.5,,,0.0,0,-1858.0,Sold
247237,Consumer credit,0,66631.5,,,0.0,0,-1273.0,Closed
247237,Credit card,0,81540.0,0.0,,0.0,0,-821.0,Closed
247237,Credit card,0,45000.0,0.0,45000.0,0.0,0,65.0,Active
247237,Consumer credit,0,126121.095,0.0,0.0,0.0,0,-396.0,Closed
247237,Consumer credit,0,197864.325,130433.535,0.0,0.0,0,451.0,Active
247237,Consumer credit,0,63340.335,42849.315,0.0,0.0,0,113.0,Active
160461,Consumer credit,0,135000.0,,,0.0,0,-1771.0,Closed
160461,Consumer credit,0,87723.0,,,0.0,0,-1918.0,Closed
160461,Consumer credit,0,225000.0,,,0.0,0,-307.0,Closed
160461,Credit card,0,45000.0,,,0.0,0,10003.0,Active
160461,Consumer credit,0,1350000.0,,,0.0,0,679.0,Closed
160461,Consumer credit,0,1800000.0,,,0.0,0,1737.0,Active
452436,Credit card,0,135000.0,0.0,0.0,0.0,0,319.0,Active
452436,Consumer credit,0,237150.0,78282.0,0.0,0.0,0,274.0,Active
452436,Consumer credit,0,237150.0,170964.0,0.0,0.0,0,274.0,Active
452436,Consumer credit,0,370125.0,,,0.0,0,1320.0,Active
452436,Consumer credit,0,25609.5,0.0,0.0,0.0,0,-1414.0,Closed
117189,Consumer credit,0,202500.0,0.0,0.0,0.0,0,-2087.0,Closed
117189,Consumer credit,0,130500.0,0.0,0.0,0.0,0,-355.0,Closed
117189,Consumer credit,0,148500.0,0.0,0.0,0.0,0,-949.0,Closed
117189,Consumer credit,0,54000.0,0.0,0.0,0.0,0,-493.0,Closed
117189,Consumer credit,0,296730.0,175198.5,0.0,0.0,0,780.0,Active
117189,Credit card,0,270000.0,259312.5,0.0,0.0,0,76.0,Active
117189,Consumer credit,0,10755.0,0.0,0.0,0.0,0,-301.0,Closed
117189,Consumer credit,0,225000.0,211711.5,0.0,0.0,0,966.0,Active
189466,Consumer credit,0,265500.0,191295.0,0.0,0.0,0,1073.0,Active
189466,Credit card,0,270000.0,243616.5,0.0,0.0,0,351.0,Active
189466,Consumer credit,0,304546.5,0.0,,0.0,0,-95.0,Closed
189466,Consumer credit,0,139294.035,0.0,0.0,0.0,0,-95.0,Closed
329699,Consumer credit,0,40245.75,0.0,,0.0,0,-2008.0,Closed
329699,Consumer credit,0,178398.0,0.0,,0.0,0,-1490.0,Closed
329699,Consumer credit,0,675000.0,0.0,0.0,0.0,0,12.0,Closed
329699,Credit card,0,0.0,0.0,0.0,0.0,0,31063.0,Closed
329699,Credit card,0,180000.0,64854.0,0.0,0.0,0,1021.0,Active
329699,Consumer credit,0,4266000.0,,,0.0,0,3243.0,Active
329699,Consumer credit,0,513000.0,,,0.0,0,-363.0,Closed
329699,Consumer credit,0,1741500.0,,,0.0,0,1257.0,Closed
403477,Consumer credit,0,51012.0,0.0,0.0,0.0,0,-1463.0,Closed
403477,Consumer credit,0,549000.0,440262.0,0.0,0.0,0,1215.0,Active
403477,Consumer credit,0,51012.0,,,0.0,0,-1463.0,Closed
403477,Consumer credit,0,65776.5,,,0.0,0,-9.0,Active
356233,Consumer credit,0,58477.725,0.0,,0.0,0,-1188.0,Closed
356233,Consumer credit,0,483750.0,451395.0,,0.0,0,913.0,Active
356233,Consumer credit,0,589135.5,254299.5,,0.0,0,280.0,Active
356233,Consumer credit,0,96664.5,,,0.0,0,-1036.0,Closed
273181,Consumer credit,0,67540.5,0.0,0.0,0.0,0,-483.0,Closed
273181,Consumer credit,0,810000.0,,,0.0,0,93.0,Closed
273181,Consumer credit,0,805500.0,,,0.0,0,1526.0,Active
260040,Credit card,0,180000.0,0.0,0.0,0.0,0,-1729.0,Closed
260040,Consumer credit,0,85223.61,0.0,0.0,0.0,0,-1917.0,Closed
260040,Consumer credit,0,225000.0,0.0,0.0,0.0,0,-1152.0,Closed
260040,Consumer credit,0,450000.0,149998.5,0.0,0.0,0,350.0,Active
260040,Credit card,0,72157.5,0.0,,0.0,0,-1260.0,Closed
260040,Consumer credit,0,360000.0,,,0.0,0,1428.0,Active
284027,Credit card,0,225000.0,0.0,0.0,0.0,0,-1729.0,Closed
284027,Consumer credit,0,60142.5,0.0,0.0,0.0,0,-2431.0,Closed
284027,Consumer credit,0,47036.25,0.0,0.0,0.0,0,-2018.0,Closed
284027,Consumer credit,0,73923.3,0.0,0.0,0.0,0,-740.0,Closed
284027,Credit card,0,0.0,0.0,0.0,0.0,0,859.0,Active
284027,Consumer credit,0,150300.0,0.0,0.0,0.0,0,-441.0,Closed
449243,Consumer credit,0,224752.5,0.0,0.0,0.0,0,-302.0,Closed
449243,Consumer credit,0,25830.0,,,0.0,0,-2036.0,Closed
449243,Consumer credit,0,491445.0,,,0.0,0,401.0,Active
449243,Credit card,0,675000.0,0.0,,0.0,0,3574.0,Active
449243,Consumer credit,0,1350000.0,810027.0,0.0,0.0,0,630.0,Active
426342,Consumer credit,0,49230.0,0.0,0.0,0.0,0,-2207.0,Closed
426342,Consumer credit,0,110416.5,0.0,,0.0,0,-1567.0,Closed
426342,Consumer credit,0,140206.5,0.0,,0.0,0,-2183.0,Closed
426342,Consumer credit,0,138105.0,0.0,,0.0,0,-2238.0,Closed
426342,Consumer credit,0,145395.0,0.0,,0.0,0,-1683.0,Closed
426342,Consumer credit,0,1187415.0,924462.0,,0.0,0,204.0,Active
132489,Consumer credit,0,135540.9,0.0,0.0,0.0,0,-792.0,Closed
132489,Credit card,0,0.0,-45.945,45.945,0.0,0,934.0,Active
132489,Credit card,0,193500.0,0.0,193500.0,0.0,0,-162.0,Active
